threshold,damaging_accuracy,damaging_fpr,damaging_fnr,faith_accuracy,faith_fpr,faith_fnr
0,37,37,37,37,37,37
0.01,38,38,38,38,38,38
0.02,39,39,39,39,39,39
0.03,40,40,40,40,40,40
0.04,41,41,41,41,41,41
0.05,42,42,42,42,42,42
0.06,43,43,43,43,43,43
0.07,44,44,44,44,44,44
0.08,45,45,45,45,45,45
0.09,46,46,46,46,46,46
0.1,47,47,47,47,47,47
0.11,48,48,48,48,48,48
0.12,49,49,49,49,49,49
0.13,50,50,50,50,50,50
0.14,51,51,51,51,51,51
0.15,52,52,52,52,52,52
0.16,53,53,53,53,53,53
0.17,54,54,54,54,54,54
0.18,55,55,55,55,55,55
0.19,56,56,56,56,56,56
0.2,57,57,57,57,57,57
0.21,58,58,58,58,58,58
0.22,59,59,59,59,59,59
0.23,60,60,60,60,60,60
0.24,61,61,61,61,61,61
0.25,62,62,62,62,62,62
0.26,63,63,63,63,63,63
0.27,64,64,64,64,64,64
0.28,65,65,65,65,65,65
0.29,66,66,66,66,66,66
0.3,67,67,67,67,67,67
0.31,68,68,68,68,68,68
0.32,69,69,69,69,69,69
0.33,70,70,70,70,70,70
0.34,71,71,71,71,71,71
0.35,72,72,72,72,72,72
0.36,73,73,73,73,73,73
0.37,74,74,74,74,74,74
0.38,75,75,75,75,75,75
0.39,76,76,76,76,76,76
0.4,77,77,77,77,77,77
0.41,78,78,78,78,78,78
0.42,79,79,79,79,79,79
0.43,80,80,80,80,80,80
0.44,81,81,81,81,81,81
0.45,82,82,82,82,82,82
0.46,83,83,83,83,83,83
0.47,84,84,84,84,84,84
0.48,85,85,85,85,85,85
0.49,86,86,86,86,86,86
0.5,87,87,87,87,87,87
0.51,88,88,88,88,88,88
0.52,89,89,89,89,89,89
0.53,90,90,90,90,90,90
0.54,91,91,91,91,91,91
0.55,90,90,90,90,90,90
0.56,89,89,89,89,89,89
0.57,88,88,88,88,88,88
0.58,87,87,87,87,87,87
0.59,86,86,86,86,86,86
0.6,85,85,85,85,85,85
0.61,83,83,83,83,83,83
0.62,82,82,82,82,82,82
0.63,81,81,81,81,81,81
0.64,81,81,81,81,81,81
0.65,80,80,80,80,80,80
0.66,79,79,79,79,79,79
0.67,78,78,78,78,78,78
0.68,77,77,77,77,77,77
0.69,76,76,76,76,76,76
0.7,75,75,75,75,75,75
0.71,74,74,74,74,74,74
0.72,73,73,73,73,73,73
0.73,72,72,72,72,72,72
0.74,71,71,71,71,71,71
0.75,70,70,70,70,70,70
0.76,69,69,69,69,69,69
0.77,68,68,68,68,68,68
0.78,67,67,67,67,67,67
0.79,66,66,66,66,66,66
0.8,65,65,65,65,65,65
0.81,64,64,64,64,64,64
0.82,63,63,63,63,63,63
0.83,62,62,62,62,62,62
0.84,61,61,61,61,61,61
0.85,60,60,60,60,60,60
0.86,59,59,59,59,59,59
0.87,58,58,58,58,58,58
0.88,57,57,57,57,57,57
0.89,56,56,56,56,56,56
0.9,55,55,55,55,55,55
0.91,54,54,54,54,54,54
0.92,53,53,53,53,53,53
0.93,52,52,52,52,52,52
0.94,51,51,51,51,51,51
0.95,50,50,50,50,50,50
0.96,49,49,49,49,49,49
0.97,48,48,48,48,48,48
0.98,47,47,47,47,47,47
0.99,46,46,46,46,46,46
1,45,45,45,45,45,45
